"Featured","Destaques"
"Newest","Novos Produtos"
"Most Viewed","Produtos Mais Vistos"
"Featured Products","Produtos em Destaque"
"Newest Products","Novos Produtos"
"Most Viewed Products", "Produtos Mais Vistos"
"Most Sold Products","Produtos Mais Vendidos"
"Heading","Cabeçalho"
"Meta Title","Título (Meta-dado)"
"Meta Description","Descrição (Meta-dado)
"Meta Keywords","Palavras-Chave"
"Layout","Formato da Página"
"Sort By in Main Block","Ordenação"
"Main block is used in content section of the site","O bloco principal é usado no conteúdo do site"
"Number Of Items in Main Block","Número de items"
"How many products will be showed in main block?","Quanto produtos em destaque serão mostrado na seção?"
"Number Of Items per row in Main Block","Número de items por linha"
"How many products will be showed per row?","Quantos produtos serão mostrados por linha?"
"Width of thumbnail image","Largura da imagem miniatura"
"Proportional ratio of thumbnail image (width:height)","Razão da imagem miniatura"
"Time Limit in Main Block","Limite de tempo"
"How many days products will be compared?","Quantos dias serão considerados como critério?"
"Save Featured Products","Salvar Produtos em Destaque"
"Featured product was successfully saved.","Configuração realizada com sucesso."
"View details","Comprar"
