"Auto-Complete Shipping","Auto-Completar Endereço"
"Base Consult (URL)","Buscar na Base (URL)"
"Turn On Module","Habilitar Módulo"
"You should use 4 lines in field shipping the configuracion of the name and client shipping.","Você deve usar 4 linhas no campo endereço das configurações de nome e endereço do cliente."
"Show Country","Mostrar Campo País"
"Number","Número"
"Completion","Complemento"
"District","Bairro"
"Dont know the cep?","n&atilde;o sabe o cep?"
"Loading...","Carregando..."
"Max Height of Product Image","Altura máxima da imagem"
"Max Width of Product Image","Largura máxima da imagem"
"After the product saving system will minimize width of each image proportionally to this value.","Após salvar o produto o sistem irá diminuir a largura de cada imagem proporcionalmente a este valor"
"After the product saving system will minimize height of each image proportionally to this value.","Após salvar o produto o sistem irá diminuir a altura de cada imagem proporcionalmente a este valor"
"Tracking Number","C&oacute;digo de Rastreamento"
